Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
THE MEASUREMENT OF INCOME SEGREGATION,,10.1111/iere.12466,True,,2020,,International Economic Review,False,,"Lasso de la Vega, Casilda and Volij, Oscar"
Income Inequality and Income Segregation,,10.1086/657114,True,,2011,,American Journal of Sociology,False,,"Reardon, Sean F. and Bischoff, Kendra"
"Local Information, Income Segregation, and Geographic Mobility",,10.1515/bejeap-2017-0314,True,,2018,,The B.E. Journal of Economic Analysis &amp; Policy,False,,"Bond, Timothy N. and Salisbury, Laura"
SPACE AND THE MEASUREMENT OF INCOME SEGREGATION,,10.1111/j.1467-9787.2007.00508.x,True,,2007,,Journal of Regional Science,False,,"Dawkins, Casey J."
Building Inequality: Housing Segregation and Income Segregation,,10.15195/v6.a19,True,,2019,,Sociological Science,False,,"Owens, Ann"
"Economic Segregation, Race, and Homicide<sup>*</sup>",,10.1111/j.1540-6237.2006.00401.x,True,,2006,,Social Science Quarterly,False,,"Eitle, David and D’Alessio, Stewart J. and Stolzenberg, Lisa"
Impact of spatial effects on income segregation indices,,10.1016/j.compenvurbsys.2011.07.008,True,,2011,,"Computers, Environment and Urban Systems",False,,"Rey, Sergio J. and Folch, David C."
Can private giving promote economic segregation?,,10.1016/j.jpubeco.2006.10.006,True,,2007,,Journal of Public Economics,False,,"Horstmann, Ignatius J. and Scharf, Kimberley and Slivinski, Al"
Income Segregation and the Rise of the Knowledge Economy,,10.1257/app.20210074,True,,2023,,American Economic Journal: Applied Economics,False,,"Berkes, Enrico and Gaetani, Ruben"
Economic segregation and public support for redistribution,,10.1080/03623319.2020.1727223,True,,2020,,The Social Science Journal,False,,"Franko, William W. and Livingston, Avery C."
"Technology, talent and economic segregation in cities",,10.1016/j.apgeog.2020.102167,True,,2020,,Applied Geography,False,,"Florida, Richard and Mellander, Charlotta"
Residential income segregation: A behavioral model of the housing market,,10.1016/j.jebo.2019.01.010,True,,2019,,Journal of Economic Behavior &amp; Organization,False,,"Pangallo, Marco and Nadal, Jean-Pierre and Vignes, Annick"
Income Segregation between School Districts and Inequality in Students’ Achievement,,10.1177/0038040717741180,True,,2017,,Sociology of Education,False,,"Owens, Ann"
Residential income segregation and commuting in a Latin American city,,10.1016/j.apgeog.2020.102186,True,,2020,,Applied Geography,False,,"Haddad, MÃ´nica A."
On the link between rail transit and spatial income segregation,,10.1016/j.apgeog.2020.102364,True,,2020,,Applied Geography,False,,"Nilsson, Isabelle and Delmelle, Elizabeth C."
Income segregation and local progressive taxation: Empirical evidence from Switzerland,,10.1016/j.jpubeco.2005.09.003,True,,2006,,Journal of Public Economics,False,,"Schmidheiny, Kurt"
"School finance, spatial income segregation, and the nature of communities",,10.1016/S0094-1190(03)00041-X,True,,2003,,Journal of Urban Economics,False,,"Nechyba, Thomas"
Suburban Development and Economic Segregation in the 1990S,,10.1111/j.1467-9906.2006.00291.x,True,,2006,,Journal of Urban Affairs,False,,"Yang, Rebecca and Jargowsky, Paul A."
How Economic Segregation Affects Children's Educational Attainment,,10.1353/sof.2002.0053,True,,2002,,Social Forces,False,,"Mayer, S. E."
Educational Justice and Socio-Economic Segregation in Schools,,10.1111/j.1467-9752.2007.00583.x,True,,2007,,Journal of Philosophy of Education,False,,"BRIGHOUSE, HARRY"
Dissecting income segregation: Impacts of concentrated affluence on segregation of poverty,,10.1080/0022250X.2018.1476858,True,,2018,,The Journal of Mathematical Sociology,False,,"Yavaş, Mustafa"
Income Segregation and Intergenerational Mobility Across Colleges in the United States*,,10.1093/qje/qjaa005,True,,2020,,The Quarterly Journal of Economics,False,,"Chetty, Raj and Friedman, John N and Saez, Emmanuel and Turner, Nicholas and Yagan, Danny"
The Uptick in Income Segregation: Real Trend or Random Sampling Variation?,,10.1086/697528,True,,2018,,American Journal of Sociology,False,,"Logan, John R. and Foster, Andrew and Ke, Jun and Li, Fan"
Assisted Housing and Income Segregation among Neighborhoods in U.S. Metropolitan Areas,,10.1177/0002716215576106,True,,2015,,The ANNALS of the American Academy of Political and Social Science,False,,"Owens, Ann"
Income segregation in monocentric and polycentric cities: Does urban form really matter?,,10.1016/j.regsciurbeco.2018.05.003,True,,2018,,Regional Science and Urban Economics,False,,"Garcia-López, Miquel-Àngel and Moreno-Monroy, Ana I."
