PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Chelleri, L				Chelleri, Lorenzo			From the "Resilient City" to Urban Resilience. A review essay on understanding and integrating the resilience perspective for urban systems	DOCUMENTS D ANALISI GEOGRAFICA			English	Review						Resilient cities; urban resilience; adaptation to climate change; transition towns; sustainability	SOCIAL-ECOLOGICAL SYSTEMS; LAND-USE; ADAPTABILITY; BIODIVERSITY; LANDSCAPES; MANAGEMENT; GOVERNANCE; COMPLEXITY; EVOLUTION; SHIFTS	Resilience appears to have become a buzz word since the ecological, psychological, social and economic sciences began to use it to refer, respectively, to the capacity of ecosystems, people, societies, the economy, and more recently even urban systems to cope with disturbance. In fact, it is unclear exactly what the catchword "resilient city" means. Based on these assumptions, this article reviews resilience perspectives and their possible application to urban systems. In the first part of the paper, the concept of resilience, its evolution and perspectives (from engineering to social ecology) are analyzed with reference to ecosystems, societies and complex systems. In the second part we try to shed light on this panacea of concepts applied to cities. Important insights of this review are that certain resilience engineering perspectives (such as recovery and persistence views) can lead to unsustainable patterns of development in cities, while from complex systems resilience perspectives the principles of sustainability and transformability emerge as the consequent and necessary trajectory. While the term "resilient cities" often refers only to the capacity to maintain functions and structures, we argue that urban resilience should be framed within the resilience (system persistence), transition (system incremental change) and transformation (system reconfiguration) views.	[Chelleri, Lorenzo] Univ Autonoma Barcelona, Dept Geografia, Barcelona, Spain	Autonomous University of Barcelona	Chelleri, L (corresponding author), Univ Autonoma Barcelona, Dept Geografia, Barcelona, Spain.	lorenzo.chelleri@uab.cat		Chelleri, Lorenzo/0000-0003-0229-5028					93	99	104	0	6	UNIV AUTONOMA BARCELONA	BARCELONA	SERVEI PUBLICACIONS, EDIFICI A, BELLATERRA, CARDANYOLA DEL VALLES, BARCELONA, 08193, SPAIN	0212-1573	2014-4512		DOC ANAL GEOGR	Doc. Anal. Geogr.	MAY-AUG	2012	58	2					287	306						20	Geography	Emerging Sources Citation Index (ESCI)	Geography	V0M9M		Green Submitted, Green Published, gold			2023-10-25	WOS:000216374100004
B	Ercoskun, OY	Ercoskun, OY			Ercoskun, Ozge Yalciner	Ercoskun, OY		A Paradigm Shift towards Urban Resilience	GREEN AND ECOLOGICAL TECHNOLOGIES FOR URBAN PLANNING: CREATING SMART CITIES			English	Article; Book Chapter							CLIMATE-CHANGE; COMMUNITY	The global environmental situation is in decline, and cities are at the very centre of the problem. This has resulted in an urgent need for a radical and large-scale eco-technological overhaul. This chapter focuses on the paradigm shift towards sustainability and resilience, and particularly, how the new thinking of resilience can convert investments in urban infrastructure and development into resilient support systems, enabling both greater city prosperity and environmental regeneration. The objectives of this chapter are to search for new paths in the creation of resilient communities through the sustainable use of technologies; to discuss the significance of equity, economy, and traditional knowledge in resilient cities; to put forward a green approach that encompasses both mitigation and adaptation; and to explore potential and practical ways of creating urban resilience. A detailed review of existing definitions and policies related to urban resilience, as well as the role of eco-technologies and city planners in this process, is also presented. The chapter concludes by suggesting a set of urban design strategies and a list of key stakeholders as critical ingredients in the move towards urban resilience.	[Ercoskun, Ozge Yalciner] Gazi Univ, City & Reg Planning Dept, Ankara, Turkey	Gazi University	Ercoskun, OY (corresponding author), Gazi Univ, City & Reg Planning Dept, Ankara, Turkey.								53	5	5	1	8	IGI GLOBAL	HERSEY	701 E CHOCOLATE AVE, STE 200, HERSEY, PA 17033-1240 USA			978-1-61350-454-3; 978-1-61350-453-6				2012							1	16		10.4018/978-1-61350-453-6.ch001	http://dx.doi.org/10.4018/978-1-61350-453-6.ch001	10.4018/978-1-61350-453-6		16	Green & Sustainable Science & Technology; Urban Studies	Book Citation Index – Social Sciences & Humanities (BKCI-SSH); Book Citation Index – Science (BKCI-S)	Science & Technology - Other Topics; Urban Studies	BH8NR					2023-10-25	WOS:000403537500003
J	Liao, KH				Liao, Kuei-Hsien			A Theory on Urban Resilience to Floods-A Basis for Alternative Planning Practices	ECOLOGY AND SOCIETY			English	Article						flood adaptation; flood control; flood hazard management; resilience-based management; resilience surrogate; resilient cities; urban floodplains; urban resilience	ECOLOGICAL RESILIENCE; ADAPTIVE CAPACITY; WATER; VULNERABILITY; RIVER; SUSTAINABILITY; ADAPTATION; SURROGATES; MANAGEMENT; FRAMEWORK	River cities require a management approach based on resilience to floods rather than on resistance. Resisting floods by means of levees, dams, and channelization neglects inherent uncertainties arising from human-nature couplings and fails to address the extreme events that are expected to increase with climate change, and is thereby not a reliable approach to long-term flood safety. By applying resilience theory to address system persistence through changes, I develop a theory on "urban resilience to floods" as an alternative framework for urban flood hazard management. Urban resilience to floods is defined as a city's capacity to tolerate flooding and to reorganize should physical damage and socioeconomic disruption occur, so as to prevent deaths and injuries and maintain current socioeconomic identity. It derives from living with periodic floods as learning opportunities to prepare the city for extreme ones. The theory of urban resilience to floods challenges the conventional wisdom that cities cannot live without flood control, which in effect erodes resilience. To operationalize the theory for planning practice, a surrogate measure-the percent floodable area-is developed for assessing urban resilience to floods. To enable natural floodplain functions to build urban resilience to floods, flood adaptation is advocated in order to replace flood control for mitigating flood hazards.	Natl Univ Singapore, Dept Architecture, Sch Design & Environm, Singapore, Singapore	National University of Singapore	Liao, KH (corresponding author), Natl Univ Singapore, Dept Architecture, Sch Design & Environm, Singapore, Singapore.		McLean, Laurence JA/C-7367-2014						94	261	275	36	403	RESILIENCE ALLIANCE	WOLFVILLE	ACADIA UNIV, BIOLOGY DEPT, WOLFVILLE, NS B0P 1X0, CANADA	1708-3087			ECOL SOC	Ecol. Soc.		2012	17	4							48	10.5751/ES-05231-170448	http://dx.doi.org/10.5751/ES-05231-170448			15	Ecology; Environmental Studies	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Environmental Sciences & Ecology	069EF		Green Submitted, Green Published, gold			2023-10-25	WOS:000313417400044
J	Lhomme, S; Serre, D; Diab, Y; Laganier, R				Lhomme, S.; Serre, D.; Diab, Y.; Laganier, R.			Analyzing resilience of urban networks: a preliminary step towards more flood resilient cities	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES			English	Article								In Europe, river floods have been increasing in frequency and severity. These circumstances require the management of flood risk by integrating new concepts like urban resilience. Nevertheless, urban resilience seems to have no accurate meanings. That is why researchers are primarily concerned with defining resilience. Nevertheless, focus on research object seems to be more important than focus on conceptual debate ( Resilience of what? Rather than what is resilience?). Thus the methodology designed here is focused on urban considerations. In fact, a system approach emphasizes technical networks' importance concerning urban resilience. Principles and assumptions applied in this research finally lead to the analysis of how urban networks are able to face natural hazards. In this context, a Web-GIS has been developed for analyzing resistance capacity, absorption capacity and recovery capacity of different technical networks. A first application has been carried out on a French agglomeration in order to analyze road network absorption capacity. This application is very specific but, thanks to this example, it is already possible to highlight the methodology's usefulness.	[Lhomme, S.; Serre, D.; Diab, Y.] Univ Paris EST EIVP, Paris, France; [Lhomme, S.; Laganier, R.] Univ Paris Diderot PRODIG, Paris, France; [Diab, Y.] Univ Paris EST LEESU, Paris, France	Universite Paris-Est-Creteil-Val-de-Marne (UPEC); AgroParisTech	Lhomme, S (corresponding author), Univ Paris EST EIVP, Paris, France.	serge.lhomme@eivp-paris.fr		serre, damien/0000-0002-2902-2989					40	102	109	7	139	COPERNICUS GESELLSCHAFT MBH	GOTTINGEN	BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY	1561-8633	1684-9981		NAT HAZARD EARTH SYS	Nat. Hazards Earth Syst. Sci.		2013	13	2					221	230		10.5194/nhess-13-221-2013	http://dx.doi.org/10.5194/nhess-13-221-2013			10	Geosciences, Multidisciplinary; Meteorology & Atmospheric Sciences; Water Resources	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Geology; Meteorology & Atmospheric Sciences; Water Resources	118ES		Green Submitted, gold			2023-10-25	WOS:000317006600002
C	Salat, S; Bourdic, L		Secondini, P; Wu, X; Tondelli, S; Wu, J; Xie, H		Salat, Serge; Bourdic, Loeiz			Power Laws for Energy Efficient and Resilient Cities	2011 INTERNATIONAL CONFERENCE ON GREEN BUILDINGS AND SUSTAINABLE CITIES	Procedia Engineering		English	Proceedings Paper	International Conference on Green Buildings and Sustainable Cities (GBSC)	SEP 15-16, 2011	Bologna, ITALY			Urban efficiency; Urban resilience; Energy; Power laws; Fractals; Pareto distribution		Urban complexity is a hard-to-grasp concept. This paper firstly aims at investigating this issue through the prism of scale-hierarchic distributions: fractals, power laws, Zipf's laws and Pareto distributions. Authors notably emphasize the mathematical proximity between these distributions. Building on the convergence of Prigogine's dissipative structure theory, industrial ecology and Bejan's constructal law, authors then stress the crucial role that power law distributed complex urban structures have to play to make cities energy efficient and resilient. (C) 2011 Published by Elsevier Ltd. Selection and/or peer-review under responsibility of APAAS	[Salat, Serge; Bourdic, Loeiz] CSTB, Urban Morphol Lab, F-75016 Paris, France		Bourdic, L (corresponding author), CSTB, Urban Morphol Lab, 4 Av Recteur Poincare, F-75016 Paris, France.	loeiz.bourdic@m4x.org							14	11	12	0	15	ELSEVIER SCIENCE BV	AMSTERDAM	SARA BURGERHARTSTRAAT 25, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1877-7058			PROCEDIA ENGINEER			2011	21						1193	1198		10.1016/j.proeng.2011.11.2130	http://dx.doi.org/10.1016/j.proeng.2011.11.2130			6	Construction & Building Technology; Environmental Sciences	Conference Proceedings Citation Index - Science (CPCI-S)	Construction & Building Technology; Environmental Sciences & Ecology	BYU74		gold			2023-10-25	WOS:000300505700151
J	Balsells, M; Barroca, B; Amdal, JR; Diab, Y; Becue, V; Serre, D				Balsells, M.; Barroca, B.; Amdal, J. R.; Diab, Y.; Becue, V.; Serre, D.			Analysing urban resilience through alternative stormwater management options: application of the conceptual Spatial Decision Support System model at the neighbourhood scale	WATER SCIENCE AND TECHNOLOGY			English	Article						DS3 model; neighbourhood scale; stormwater management system; urban resilience		Recent changes in cities and their environments, caused by rapid urbanisation and climate change, have increased both flood probability and the severity of flooding. Consequently, there is a need for all cities to adapt to climate and socio-economic changes by developing new strategies for flood risk management. Following a risk paradigm shift from traditional to more integrated approaches, and considering the uncertainties of future urban development, one of the main emerging tasks for city managers becomes the development of resilient cities. However, the meaning of the resilience concept and its operability is still not clear. The goal of this research is to study how urban engineering and design disciplines can improve resilience to floods in urban neighbourhoods. This paper presents the conceptual Spatial Decision Support System (DS3) model which we consider a relevant tool to analyse and then implement resilience into neighbourhood design. Using this model, we analyse and discuss alternative stormwater management options at the neighbourhood scale in two specific areas: Rotterdam and New Orleans. The results obtained demonstrate that the DS3 model confirmed in its framework analysis that stormwater management systems can positively contribute to the improved flood resilience of a neighbourhood.	[Balsells, M.; Becue, V.] Univ Mons, Fac Architecture & Urbanisme, B-7000 Mons, Belgium; [Barroca, B.; Diab, Y.] Univ Paris Est, LEESU, Dept Genie Urbain, F-77455 Marne La Vallee 2, France; [Amdal, J. R.] Univ New Orleans, Transportat Inst, New Orleans, LA 70148 USA; [Balsells, M.; Diab, Y.] Univ Paris Est, Ecole Ingn Ville Paris, F-75019 Paris, France; [Serre, D.] RECUE Solut, F-92220 Bagneux, France; [Serre, D.] Univ Paris Diderot Sorbonne Paris, Interdisciplinary Energy Res Inst, Paris 7, France	University of Mons; Ecole des Ponts ParisTech; Universite Paris-Est-Creteil-Val-de-Marne (UPEC); Universite Gustave-Eiffel; University of Louisiana System; University of New Orleans; Universite Gustave-Eiffel	Balsells, M (corresponding author), Univ Mons, Fac Architecture & Urbanisme, Pl Parc 23, B-7000 Mons, Belgium.	mireia.balsells@umons.ac.be	Barroca, Bruno/ABF-5436-2020	Barroca, Bruno/0000-0001-6653-0803; serre, damien/0000-0002-2902-2989					19	21	23	1	71	IWA PUBLISHING	LONDON	ALLIANCE HOUSE, 12 CAXTON ST, LONDON SW1H0QS, ENGLAND	0273-1223	1996-9732		WATER SCI TECHNOL	Water Sci. Technol.		2013	68	11					2448	2457		10.2166/wst.2013.527	http://dx.doi.org/10.2166/wst.2013.527			10	Engineering, Environmental; Environmental Sciences; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Environmental Sciences & Ecology; Water Resources	276HN	24334895				2023-10-25	WOS:000328740600018
J	Stumpp, EM				Stumpp, Eva-Maria			New in town? On resilience and "Resilient Cities"	CITIES			English	Article						Urban resilience; Sustainability; Planning theory; Environmental planning; Complexity; Trans-disciplinary research; Collaborative projects		Looking at the programme and the range of conferences in spatial planning around Europe in recent years, resilience seems to be the new buzzword in urban-regional matters. As such it is following sustainability, sometimes even used interchangeably. It is argued that, with a sound theoretical framework for an urban regional context still pending, it is difficult to apply resilience as a new paradigm to planning practice. Based on conceptual thoughts on resilience particularly in relation to the concept of sustainability, this contribution suggests that one challenge for urban regional resilience is the need for intensified collaboration between different disciplines as well as between science and practice. It concludes with suggestions on how to approach this challenge using existing platforms such as conferences or collaborative projects. (c) 2013 Elsevier Ltd. All rights reserved.	Univ Stuttgart, Fac Architecture & Urban Planning, ILPOE Inst Landscape Planning & Ecol, D-70174 Stuttgart, Germany	University of Stuttgart	Stumpp, EM (corresponding author), Univ Stuttgart, Fac Architecture & Urban Planning, ILPOE Inst Landscape Planning & Ecol, Keplerstr 11, D-70174 Stuttgart, Germany.	ems@ilpoe.uni-stuttgart.de							10	62	64	2	80	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0264-2751			CITIES	Cities	JUN	2013	32						164	166		10.1016/j.cities.2013.01.003	http://dx.doi.org/10.1016/j.cities.2013.01.003			3	Urban Studies	Social Science Citation Index (SSCI)	Urban Studies	178BX					2023-10-25	WOS:000321420200021
C	Campanella, TJ		Hao, JP; He, JJ; Fan, KX		Campanella, Thomas J.			Making resilient cities: Some axioms of urban resilience	2006 XI'AN INTERNATIONAL CONFERENCE OF ARCHITECTURE AND TECHNOLOGY, PROCEEDINGS: ARCHITECTURE IN HARMONY			English	Proceedings Paper	Xi'an International Conference on Architecture and Technology	SEP 23-25, 2006	Xian, PEOPLES R CHINA	Xian Univ Architecture & Technol, Chinese Acad Engn, Dept Civil Engn, Water Conservancy & Architecture		urban design; urban disasters; resilience; city planning		This paper considers issues of urban design and urban resilience in the wake of disaster, with special reference to the trauma inflicted on New Orleans, USA by Hurricane Katrina in the fall of 2005. Based on a variety of historical examples, it argues that cities are remarkably resilience entities, and have survived and even flourished in the aftermath of horrific destruction, whether caused by human action, natural catastrophe or a combination thereof. The paper reviews historical cases of urban disaster in order to isolate important design and planning factors influencing the capacity of a city to rebound and recover. These include London Fire, 1666; the Great Fire of Chicago, 1871; Great Tangshan Earthquake, 1976; and the Mexico City Earthquake of 1985. It then focuses on the key role of a resourceful citizenry in determining post-disaster resilience. Hurricane Katrina not only devastated the built environment of New Orleans but, by forcing a mass evacuation of residents, tore apart its social fabric as well. Plans to rebuild the city's physical infrastructure have lagged in part because the social fabric and communal networks have yet to recover. Only with strong citizen involvement at the grassroots level will the rebuilding of New Orleans yield a robust and inclusive metropolis, rather than a theme-park shadow of its former self.	[Campanella, Thomas J.] Univ N Carolina, Dept City & Reg Planning, Chapel Hill, NC 27515 USA	University of North Carolina; University of North Carolina Chapel Hill									4	3	3	3	46	CHINA ARCHITECTURE & BUILDING PRESS	BEIJING	BAIWANZHUANG XICHENGGU, BEIJING, 10037, PEOPLES R CHINA			978-7-112-00507-9				2006							67	70						4	Architecture; Construction & Building Technology; Engineering, Environmental; Engineering, Civil; Management; Materials Science, Characterization & Testing; Regional & Urban Planning; Urban Studies	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Architecture; Construction & Building Technology; Engineering; Business & Economics; Materials Science; Public Administration; Urban Studies	BHQ19					2023-10-25	WOS:000255359300012
B	O'Riordan, T		Newton, PW		O'Riordan, Tim			Transitioning to Resilient Cities	TRANSITIONS: PATHWAYS TOWARDS SUSTAINABLE URBAN DEVELOPMENT IN AUSTRALIA			English	Editorial Material; Book Chapter									Univ E Anglia, Norwich NR4 7TJ, Norfolk, England	University of East Anglia	O'Riordan, T (corresponding author), Univ E Anglia, Norwich NR4 7TJ, Norfolk, England.								0	0	0	0	1	CSIRO PUBLISHING	COLLINGWOOD	150 OXFORD STREET, PO BOX 1139, COLLINGWOOD, VIC 3066, AUSTRALIA			978-0-643-09799-5				2008							189	190						2	Environmental Studies; Urban Studies	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Environmental Sciences & Ecology; Urban Studies	BVK49					2023-10-25	WOS:000291717900017
J	Batty, M				Batty, Michael			Resilient cities, networks, and disruption	ENVIRONMENT AND PLANNING B-PLANNING & DESIGN			English	Editorial Material													Batty, Michael/D-4422-2011; Batty, Michael/I-5638-2014	Batty, Michael/0000-0002-9931-1305; 					4	16	16	1	24	PION LTD	LONDON	207 BRONDESBURY PARK, LONDON NW2 5JN, ENGLAND	0265-8135			ENVIRON PLANN B	Environ. Plan. B-Plan. Des.		2013	40	4					571	573		10.1068/b4004ed	http://dx.doi.org/10.1068/b4004ed			3	Environmental Studies	Social Science Citation Index (SSCI)	Environmental Sciences & Ecology	194HN		hybrid			2023-10-25	WOS:000322622100001
